,index,0,1
0,Series Description,Currency:,
1,AUSTRALIA -- SPOT EXCHANGE RATE US$/AU$ (RECIPROCAL OF RXI_N.B.AL),USD,0.7148
2,SPOT EXCHANGE RATE - EURO AREA ,USD,1.1277
3,"NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ RECIPROCAL OF RXI_N.B.NZ ",USD,0.6755
4,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)",USD,1.3269
5,SPOT EXCHANGE RATE - BRAZIL ,BRL,5.6754
6,"CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ",CAD,1.283
7,"CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ",CNY,6.3748
8,"DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ",DKK,6.5949
9,"HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ",HKD,7.8017
10,"INDIA -- SPOT EXCHANGE RATE, RUPEES/US$ ",INR,75.98
11,"JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ",JPY,113.56
12,"MALAYSIA -- SPOT EXCHANGE RATE, RINGGIT/US$ ",MYR,4.2185
13,"MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ",MXN,20.731
14,"NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ",NOK,9.0072
15,"SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/$US",ZAR,15.8475
16,"SINGAPORE -- SPOT EXCHANGE RATE, SINGAPORE $/US$ ",SGD,1.364
17,"KOREA -- SPOT EXCHANGE RATE, WON/US$ ",KRW,1181.03
18,"SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ",LKR,201.56
19,"SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ",SEK,9.0966
20,"SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ",CHF,0.9226
21,"TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ",TWD,27.82
22,"THAILAND -- SPOT EXCHANGE RATE, BAHT/US$ ",THB,33.31
23,Venezuela Bolivar,VEB,4.6016
